RSI(14)_value,RSI(14)_status,"STOCH(9,6)_value","STOCH(9,6)_status",STOCHRSI(14)_value,STOCHRSI(14)_status,"MACD(12,26)_value","MACD(12,26)_status",ATR(14)_value,ATR(14)_status,ADX(14)_value,ADX(14)_status,CCI(14)_value,CCI(14)_status,Highs/Lows(14)_value,Highs/Lows(14)_status,UO_value,UO_status,ROC_value,ROC_status,WilliamsR_value,WilliamsR_status,BullBear(13)_value,BullBear(13)_status,Summary_value,Summary_status,Fiyat,Degisim,Hisse,Tarih,MA5_state,MA5_value,MA10_state,MA10_value,MA20_state,MA20_value,MA50_state,MA50_value,MA100_state,MA100_value,MA200_state,MA200_value,Summary_state,Summary_value
47.560,Neutral,16.864,Oversold,15.804,Oversold,-0.050,Sell,0.5914,Less Volatility,35.738,Buy,-66.9882,Sell,-0.2421,Sell,35.796,Sell,-4.299,Sell,-84.507,Oversold,-0.2300,Sell,Buy (1) ,Strong Sell,11.13,-0.09,HALKB,2023-03-23,AL,11.08,SAT,11.25,SAT,11.51,AL,11.13,AL,11.05,AL,8.97,neutral,Buy (6)
43.777,Sell,31.787,Sell,19.686,Oversold,-0.094,Sell,0.2150,High Volatility,37.300,Sell,-100.4817,Sell,-0.1421,Sell,36.991,Sell,-6.516,Sell,-78.022,Sell,-0.2200,Sell,Buy (0) ,Strong Sell,3.72,+0.54,AKFGY,2023-03-23,SAT,3.800,SAT,3.854,SAT,3.958,SAT,4.041,SAT,4.513,AL,3.724,SAT,Buy (1)
38.988,Sell,21.336,Sell,29.179,Sell,-0.526,Sell,0.5671,Less Volatility,33.133,Sell,-91.8851,Sell,-0.6600,Sell,34.760,Sell,-7.386,Sell,-81.560,Oversold,-1.1160,Sell,Buy (0) ,Strong Sell,14.67,-0.27,PETKM,2023-03-23,AL,14.624,SAT,15.240,SAT,15.830,SAT,16.375,SAT,16.785,AL,14.085,SAT,Buy (3)
50.867,Neutral,25.685,Sell,46.644,Neutral,-0.058,Sell,0.5093,Less Volatility,32.937,Neutral,-46.9512,Neutral,-0.0279,Sell,42.849,Sell,2.290,Buy,-62.736,Sell,-0.0360,Sell,Buy (1) ,Strong Sell,9.37,+1.74,DOHOL,2023-03-23,AL,9.072,SAT,9.401,SAT,9.543,AL,9.242,AL,8.756,AL,6.677,AL,Buy (10)
47.389,Neutral,39.919,Sell,35.723,Sell,-0.510,Sell,2.0714,Less Volatility,21.793,Buy,-81.0657,Sell,-0.3429,Sell,40.503,Sell,0.641,Buy,-66.935,Sell,-0.9880,Sell,Buy (2) ,Strong Sell,54.85,-0.27,ASELS,2023-03-23,SAT,55.21,SAT,55.90,SAT,55.76,SAT,56.75,AL,53.12,AL,39.82,SAT,Buy (4)
54.147,Neutral,37.297,Sell,14.567,Oversold,0.073,Buy,0.2564,High Volatility,24.479,Buy,16.6521,Neutral,0.0000,Neutral,56.593,Buy,11.558,Buy,-55.000,Neutral,0.1940,Buy,Buy (5) ,Buy,4.44,-1.77,TSKB,2023-03-23,AL,4.440,AL,4.440,AL,4.325,AL,4.179,AL,4.049,AL,3.640,AL,Buy (12)
44.834,Sell,27.156,Sell,0.000,Oversold,-0.005,Sell,0.0436,Less Volatility,34.649,Sell,-134.0996,Sell,-0.0279,Sell,29.171,Oversold,-5.682,Sell,-92.308,Oversold,-0.0240,Sell,Buy (0) ,Strong Sell,0.83,-1.19,IHLAS,2023-03-23,SAT,0.850,SAT,0.864,SAT,0.857,SAT,0.863,SAT,0.938,AL,0.759,SAT,Buy (2)
50.638,Neutral,41.935,Sell,23.668,Oversold,0.041,Buy,0.1650,High Volatility,34.725,Buy,-35.0479,Neutral,0.0000,Neutral,48.680,Sell,5.243,Buy,-72.581,Sell,0.0040,Buy,Buy (4) ,Buy,2.81,-1.06,AVOD,2023-03-23,SAT,2.942,SAT,2.852,AL,2.799,AL,2.730,SAT,3.097,AL,2.740,SAT,Buy (5)
43.356,Sell,13.580,Oversold,6.983,Oversold,-0.029,Sell,0.0786,Less Volatility,25.867,Neutral,-83.9133,Sell,-0.0507,Sell,27.720,Oversold,-2.151,Sell,-92.593,Oversold,-0.0500,Sell,Buy (0) ,Strong Sell,1.83,0.00,CEMAS,2023-03-23,SAT,1.834,SAT,1.874,SAT,1.894,SAT,1.918,SAT,2.172,AL,1.803,SAT,Buy (1)
51.568,Neutral,39.135,Sell,81.130,Overbought,0.019,Buy,1.0957,Less Volatility,36.041,Sell,-14.5091,Neutral,0.0000,Neutral,45.549,Sell,-3.806,Sell,-41.226,Buy,-0.2500,Sell,Buy (2) ,Sell,20.1,+2.92,KRDMD,2023-03-23,AL,19.286,AL,19.762,SAT,20.603,AL,19.358,AL,17.440,AL,14.576,AL,Buy (11)
